repo,metamodel,original
mdht/mdht,"['mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.hitsp#model#hitsp.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.pilot#model#pilot.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.ihe#model#ihe.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#core.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#codesystem.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.example#model#example.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#entity.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.ncr#model#ncr.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.cda.core#model#profile.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.hl7.rim#model#rim.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.ccd#model#ccd.ecore', 'mdht$mdht$core#plugins#org.openhealthtools.mdht.uml.validation#model#validation.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#valuesetdefinition.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#valueset.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.cdt#model#cdt.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.cda#src#org#openhealthtools#mdht#uml#cda#impl#cda.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#association.ecore', 'mdht$mdht$hl7#plugins#org.openhealthtools.mdht.emf.hl7.mif2#model#xhtml.ecore', 'mdht$mdht$core#plugins#org.openhealthtools.mdht.uml.term.core#model#profile.ecore', 'mdht$mdht$hl7#plugins#org.openhealthtools.mdht.emf.hl7.mif2#src#org#openhealthtools#mdht#emf#hl7#mif2#internal#impl#mif2.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#statement.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#codesystemversion.ecore', 'mdht$mdht$hl7#plugins#org.openhealthtools.mdht.emf.hl7.mif2#src#org#openhealthtools#mdht#emf#w3c#xhtml#internal#impl#xhtml.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.hl7.vocab#src#org#openhealthtools#mdht#uml#hl7#vocab#internal#impl#vocab.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.hl7.datatypes#model#datatypes.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.hl7.vocab#model#vocab.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.cda#model#cda.ecore']","['swmuir$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.hitsp#model#hitsp.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.pilot#model#pilot.ecore', 'swmuir$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.ihe#model#ihe.ecore', 'swmuir$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#core.ecore', 'swmuir$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#codesystem.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.example#model#example.ecore', 'swmuir$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#entity.ecore', 'swmuir$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.ncr#model#ncr.ecore', 'swmuir$mdht$cda#plugins#org.openhealthtools.mdht.uml.cda.core#model#profile.ecore', 'swmuir$mdht$core#plugins#org.openhealthtools.mdht.uml.hl7.rim#model#rim.ecore', 'mdht$mdht$cda#deprecated#org.openhealthtools.mdht.uml.cda.ccd#model#ccd.ecore', 'mdht$mdht$core#plugins#org.openhealthtools.mdht.uml.validation#model#validation.ecore', 'swmuir$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#valuesetdefinition.ecore', 'swmuir$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#valueset.ecore', 'mdht$mdht-models$generated#org.openhealthtools.mdht.uml.cda.cdt#model#cdt.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.cda#model#cda.ecore', 'swmuir$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#association.ecore', 'swmuir$mdht$core#plugins#org.openhealthtools.mdht.emf.hl7.mif2#model#xhtml.ecore', 'swmuir$mdht$core#plugins#org.openhealthtools.mdht.uml.term.core#model#profile.ecore', 'swmuir$mdht$core#plugins#org.openhealthtools.mdht.emf.hl7.mif2#src#org#openhealthtools#mdht#emf#hl7#mif2#internal#impl#mif2.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#statement.ecore', 'mdht$mdht$cts2#plugins#org.openhealthtools.mdht.cts2.core#model#codesystemversion.ecore', 'swmuir$mdht$core#plugins#org.openhealthtools.mdht.emf.hl7.mif2#model#xhtml.ecore', 'swmuir$mdht$core#plugins#org.openhealthtools.mdht.uml.hl7.vocab#src#org#openhealthtools#mdht#uml#hl7#vocab#internal#impl#vocab.ecore', 'swmuir$mdht$core#plugins#org.openhealthtools.mdht.uml.hl7.datatypes#model#datatypes.ecore', 'swmuir$mdht$core#plugins#org.openhealthtools.mdht.uml.hl7.vocab#src#org#openhealthtools#mdht#uml#hl7#vocab#internal#impl#vocab.ecore', 'mdht$mdht$cda#plugins#org.openhealthtools.mdht.uml.cda#model#cda.ecore']"
tkok/MDD-E2014,"['tkok$MDD-E2014$Handins#mandatory2#model#mindmap.ecore', 'tkok$MDD-E2014$Handins#mandatory2#mindmap.ecore']","['louismrose$PhD$Analyis#Co-Evo Examples#GMF#GenModel2009#mindmap#dependencies#mindmap.ecore', 'louismrose$PhD$Analyis#Co-Evo Examples#GMF#GenModel2009#mindmap#dependencies#mindmap.ecore']"
debrecenics/property-based-locking-evaluation,"['debrecenics$property-based-locking-evaluation$implementation#org.mondo.collaboration.security.macl.xtext.rule#model#generated#MACLRule.ecore', 'debrecenics$property-based-locking-evaluation$evaluation#org.mondo.collaboration.security.meta#model#wt.ecore', 'debrecenics$property-based-locking-evaluation$implementation#org.mondo.collaboration.security.mpbl.xtext#model#generated#MondoPropertyBasedLocking.ecore']","['FTSRG$mondo-collab-framework$plugins#org.mondo.collaboration.security.macl.xtext.rule#model#generated#MACLRule.ecore', 'debrecenics$property-based-locking-evaluation$evaluation#org.mondo.collaboration.security.meta#model#wt.ecore', 'FTSRG$mondo-collab-framework$plugins#org.mondo.collaboration.security.mpbl.xtext#model#generated#MondoPropertyBasedLocking.ecore']"
vahdat-ab/TGRL,"['vahdat-ab$TGRL$eclipse_projects#urn.ecore.models#model#asd.ecore', 'vahdat-ab$TGRL$eclipse_projects#urn.ecore.models#model#fm.ecore', 'vahdat-ab$TGRL$eclipse_projects#urn.ecore.models#model#urn.ecore', 'vahdat-ab$TGRL$eclipse_projects#urn.ecore.models#model#urncore.ecore', 'vahdat-ab$TGRL$eclipse_projects#urn.ecore.models#model#ucmscenarios.ecore', 'vahdat-ab$TGRL$eclipse_projects#urn.ecore.models#model#ucm.ecore', 'vahdat-ab$TGRL$eclipse_projects#urn.ecore.models#model#grl.ecore']","['svn2github$projetseg$seg.jUCMNav#src#seg#jUCMNav#emf#asd.ecore', 'svn2github$projetseg$seg.jUCMNav#src#seg#jUCMNav#emf#fm.ecore', 'svn2github$projetseg$seg.jUCMNav#src#seg#jUCMNav#emf#urn.ecore', 'svn2github$projetseg$seg.jUCMNav#src#seg#jUCMNav#emf#urncore.ecore', 'svn2github$projetseg$seg.jUCMNav#src#seg#jUCMNav#emf#ucmscenarios.ecore', 'svn2github$projetseg$seg.jUCMNav#src#seg#jUCMNav#emf#ucm.ecore', 'svn2github$projetseg$seg.jUCMNav#src#seg#jUCMNav#emf#grl.ecore']"
locationtech/udig-platform,"['locationtech$udig-platform$plugins#org.locationtech.udig.project#emf#internal.ecore', 'locationtech$udig-platform$plugins#org.locationtech.udig.project#emf#render.ecore', 'locationtech$udig-platform$plugins#org.locationtech.udig.printing.model#emf#model.ecore']","['tayfundogdas$udig$plugins#net.refractions.udig.project#emf#internal.ecore', 'tayfundogdas$udig$plugins#net.refractions.udig.project#emf#render.ecore', 'tayfundogdas$udig$plugins#net.refractions.udig.printing.model#emf#model.ecore']"
tolland/chefclipse,"['tolland$chefclipse$org.limepepper.chefclipse#model#ExtendedPO2.ecore', 'tolland$chefclipse$libs#emfjson#tests#org.eclipselabs.emfjson.junit#model#model.ecore']","['mtaal$texoteneodeps$org.eclipse.emf.teneo.website#doc#examples#ExtendedPO2.ecore', 'nloke$emfjson-gwt$org.eclipselabs.emfjson.gwt.test#model#model.ecore']"
MarkusGerhart/tprj-msi-ss13,"['MarkusGerhart$tprj-msi-ss13$archive#shape_dsl_xtext_standalone#org.eclipselabs.spray.shapes#model#generated#Shape.ecore', 'MarkusGerhart$tprj-msi-ss13$archive#ecore_js#Petrinet.ecore']","['joergreichert$spray$plugins#org.eclipselabs.spray.shapes.mm#model#Shape.ecore', 'fafilipp$tprj-ain-ss13$petrinet#org.eclipselabs.spray.examples.petrinet.domain#model#Petrinet.ecore']"
dlitvinov/FastEMFStore.core,"['dlitvinov$FastEMFStore.core$org.eclipse.emf.emfstore.client#model#client.ecore', 'dlitvinov$FastEMFStore.core$org.eclipse.emf.emfstore.client.test#model#model.ecore', 'dlitvinov$FastEMFStore.core$org.eclipse.emf.emfstore.common.model#model#common.ecore', 'dlitvinov$FastEMFStore.core$org.eclipse.emf.emfstore.client.test#model#testmodel.ecore', 'dlitvinov$FastEMFStore.core$org.eclipse.emf.emfstore.server.model#model#server.ecore']","['aumann$emfstore.core$org.eclipse.emf.emfstore.client#model#client.ecore', 'dlitvinov$FastEMFStore.core$org.eclipse.emf.emfstore.client.test#model#model.ecore', 'boehlke$EMF-Store-Extensible-Authorization$org.eclipse.emf.emfstore.common.model#model#common.ecore', 'boehlke$EMF-Store-Extensible-Authorization$org.eclipse.emf.emfstore.client.test#model#testmodel.ecore', 'dlitvinov$FastEMFStore.core$org.eclipse.emf.emfstore.server.model#model#server.ecore']"
georghinkel/ttc2017smartGrids,"['georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#outagePrevention-trace.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.trg.outage.prevention#model#outagePrevention-target.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#outagePrevention-trace.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outagePrevention-target.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#COSEM.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#outagePrevention-target.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#outageDetection-trace.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outagePrevention-trace.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#61850.ecore', 'georghinkel$ttc2017smartGrids$solutions#ModelJoin#src#main#java#COSEM#impl#COSEM.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.trg.outage.detection#model#outageDetection-target.ecore', 'georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#outageDetection-trace.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#NMetaChanges.ecore', 'georghinkel$ttc2017smartGrids$metamodels#61850.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-target.ecore', 'georghinkel$ttc2017smartGrids$metamodels#COSEM.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.changes#model#Changes.ecore', 'georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#outagePrevention-target.ecore', 'georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#COSEM.ecore', 'georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#outageDetection-target.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-trace.ecore', 'georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#61850.ecore', 'georghinkel$ttc2017smartGrids$metamodels#NMetaChanges.ecore', 'georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#outageDetection-target.ecore']","['georghinkel$ttc2017smartGrids$metamodels#outagePrevention-trace.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outagePrevention-target.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outagePrevention-trace.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outagePrevention-target.ecore', 'NMFCode$NMF$Transformations#Tests#CodeGenerationTests#COSEM.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outagePrevention-target.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-trace.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outagePrevention-trace.ecore', 'NMFCode$NMF$Transformations#Tests#CodeGenerationTests#61850.ecore', 'NMFCode$NMF$Transformations#Tests#CodeGenerationTests#COSEM.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-target.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-trace.ecore', 'georghinkel$ttc2017smartGrids$metamodels#NMetaChanges.ecore', 'NMFCode$NMF$Transformations#Tests#CodeGenerationTests#61850.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-target.ecore', 'NMFCode$NMF$Transformations#Tests#CodeGenerationTests#COSEM.ecore', 'georghinkel$ttc2017smartGrids$metamodels#NMetaChanges.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outagePrevention-target.ecore', 'NMFCode$NMF$Transformations#Tests#CodeGenerationTests#COSEM.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-target.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-trace.ecore', 'NMFCode$NMF$Transformations#Tests#CodeGenerationTests#61850.ecore', 'georghinkel$ttc2017smartGrids$metamodels#NMetaChanges.ecore', 'georghinkel$ttc2017smartGrids$metamodels#outageDetection-target.ecore']"
ReoLanguage/ECT,"['ReoLanguage$ECT$src#reo-core#org.ect.reo#model#reo.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.portnames#model#portnames.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.costs#model#costs.ecore', 'ReoLanguage$ECT$src#convert#org.ect.convert.umlad2reo#src#model#reo.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.costs#model#ea-costs.ecore', 'ReoLanguage$ECT$src#convert#org.ect.convert.umlad2reo#src#model#CMOF.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.statememory#model#statememory.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea#model#ea.ecore', 'ReoLanguage$ECT$src#reo-core#org.ect.reo.mcrl2#model#mcrl2.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.constraints#model#constraints.ecore', 'ReoLanguage$ECT$src#convert#org.ect.convert.umlad2reo#src#model#benevis#model#reo.ecore']","['ReoLanguage$ECT$src#reo-core#org.ect.reo#model#reo.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.portnames#model#portnames.ecore', 'kasperdokter$extensible-coordination-tools$src#ea-core#org.ect.ea.extensions.costs#model#costs.ecore', 'ReoLanguage$ECT$src#reo-core#org.ect.reo#model#reo.ecore', 'behnaaz$extensible-coordination-tools$src#ea-core#org.ect.ea.extensions.costs#model#ea-costs.ecore', 'DylanYu$smatrt$cases#JarUML#generated#JavaUML#model#CMOF.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.statememory#model#statememory.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea#model#ea.ecore', 'behnaaz$extensible-coordination-tools$src#reo-core#org.ect.reo.mcrl2#model#mcrl2.ecore', 'ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.constraints#model#constraints.ecore', 'ReoLanguage$ECT$src#reo-core#org.ect.reo#model#reo.ecore']"
rwl/enerate,"['rwl$enerate$com.github.enerate.python#sample.ecore', 'rwl$enerate$com.github.enerate.traits#sample.ecore', 'rwl$enerate$com.github.enerate.gae#sample.ecore', 'rwl$enerate$com.github.enerate.model.roo#model#RooModel.ecore']","['rwl$cimgym$CIMGymCPSM#model#sample.ecore', 'rwl$cimgym$CIMGymCPSM#model#sample.ecore', 'rwl$cimgym$CIMGymCPSM#model#sample.ecore', 'rwl$enerate$com.github.enerate.model.roo#model#RooModel.ecore']"
vgirishkumar/DS-ESON,"['vgirishkumar$DS-ESON$tests#org.eclipse.emf.eson.tests#model#TestModelWithDotInNames.ecore', 'vgirishkumar$DS-ESON$tests#org.eclipse.emf.eson.tests#model#TestModel.ecore', 'vgirishkumar$DS-ESON$plugins#org.eclipse.emf.eson#src-gen#org#eclipse#emf#eson#EFactory.ecore', 'vgirishkumar$DS-ESON$tests#org.eclipse.emf.eson.tests.xtextintegration#src-gen#org#eclipse#emf#eson#xtextintegration#MyDsl.ecore']","['vorburger$ESON$tests#org.eclipse.emf.eson.tests#model#TestModelWithDotInNames.ecore', 'vorburger$ESON$tests#org.eclipse.emf.eson.tests#model#TestModel.ecore', 'vorburger$ESON$plugins#org.eclipse.emf.eson#src-gen#org#eclipse#emf#eson#EFactory.ecore', 'vorburger$ESON$tests#org.eclipse.emf.eson.tests.xtextintegration#src-gen#org#eclipse#emf#eson#xtextintegration#MyDsl.ecore']"
securityandtrust/serval-lms,"['securityandtrust$serval-lms$lu.snt.serval.lms.model.base#metamodel#metamodel@runtime.ecore', 'securityandtrust$serval-lms$lu.snt.serval.lms.model.policy#metamodel#ACON.ecore']","['BackupTheBerlios$diva-unix-svn$trunk#divastudio#plugins#org.kermeta.art.model#model#metamodel@runtime.ecore', 'securityandtrust$serval-lms$lu.snt.serval.lms.model.policy#metamodel#ACON.ecore']"
alexis779/fan,['alexis779$fan$HttpClient#src#main#java#tech#vineyard#httpclient#httpComponents.ecore'],['damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#httpComponents.ecore']
svn2github/riff-wav-for-java,['svn2github$riff-wav-for-java$com.skratchdot.riff.wav#model#RIFFWave.ecore'],['skratchdot$riff-wav-for-java$com.skratchdot.riff.wav#model#RIFFWave.ecore']
go2zo/ju4pa,"['go2zo$ju4pa$org.eclipse.papyrus.uml.tools.extendedtypes#model#ApplyStereotypeActionConfiguration.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.diagram.paletteconfiguration#model#PaletteConfiguration.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.views.properties.model#Model#Properties.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.customization.properties.generation#model#FieldSelection.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.sysml#model#ecore.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.properties#Model#LanguagePreferences.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.gmfdiag.properties#model#notation.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.sysml#model#sysml.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.parameter.xtext#src#org#eclipse#papyrus#uml#textedit#parameter#xtext#UmlParameter.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.queries.core#resources#ToolConfiguration.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.alf#src#org#eclipse#papyrus#uml#alf#Alf.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.transition.xtext#src#org#eclipse#papyrus#uml#textedit#transition#xtext#UmlTransition.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.collaborationuse.xtext#src#org#eclipse#papyrus#uml#textedit#collaborationuse#xtext#UmlCollaborationUse.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.gmfdiag.css.model#Model#StyleSheets.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.views.properties#model#Preferences.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.discovery#model#discovery.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.customization.properties.generation#model#LayoutEuristic.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.common.xtext#src#org#eclipse#papyrus#uml#textedit#common#xtext#UmlCommon.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.extendedtypes.emf#model#ModifySemanticValuesActionConfiguration.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.state.xtext#src#org#eclipse#papyrus#uml#textedit#state#xtext#UmlState.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.table.instance#model#papyrustableinstance.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.sysml#model#l2.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.constraints#Model#Constraints.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.extendedtypes#model#ExtendedTypes.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.core.sasheditor.di#model#di.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.queries.core.configuration#model#Configuration.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.services.controlmode.history#model#history.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.stereotypeproperty.xtext#src#org#eclipse#papyrus#uml#textedit#stereotypeproperty#xtext#AppliedStereotypeProperty.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.message.xtext#src#org#eclipse#papyrus#uml#textedit#message#xtext#UmlMessage.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.property.xtext#src#org#eclipse#papyrus#uml#textedit#property#xtext#UmlProperty.ecore']","['go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes.uml#model#ApplyStereotypeActionConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.paletteconfiguration#model#PaletteConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties.model#Model#Properties.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.customization.properties.generation#model#FieldSelection.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties.uml#Model#LanguagePreferences.ecore', 'schmeedy$gmf$org.eclipse.gmf.notation#plugins#org.eclipse.gmf.runtime.notation#model#notation.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sysml#model#sysml.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.parameter.editor.xtext#src#org#eclipse#papyrus#parameter#editor#xtext#UmlParameter.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.core.queries#resources#ToolConfiguration.ecore', 'SOM-Research$alf-verifier$org.xtext.alf#bin#org#xtext#alf#Alf.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.transition.editor.xtext#src#org#eclipse#papyrus#transition#editor#xtext#UmlTransition.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.collaborationuse.editor.xtext#src#org#eclipse#papyrus#collaborationuse#editor#xtext#UmlCollaborationUse.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.gmfdiag.css.model#Model#StyleSheets.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties#model#Preferences.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.discovery#model#discovery.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.customization.properties.generation#model#LayoutEuristic.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.common.editor.xtext#src#org#eclipse#papyrus#common#editor#xtext#UmlCommon.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes.emf#model#ModifySemanticValuesActionConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.state.editor.xtext#src#org#eclipse#papyrus#state#editor#xtext#UmlState.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.table.instance#model#papyrustableinstance.ecore', 'creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml.profile.l2#model#L2.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.infra.constraints#Model#Constraints.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes#model#ExtendedTypes.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sasheditor.di#model#di.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.core.queries.configuration#model#Configuration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.controlmode.history#model#history.ecore', 'go2zo$ju4pa$org.eclipse.papyrus.uml.textedit.stereotypeproperty.xtext#src#org#eclipse#papyrus#uml#textedit#stereotypeproperty#xtext#AppliedStereotypeProperty.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.message.editor.xtext#src#org#eclipse#papyrus#message#editor#xtext#UmlMessage.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.property.editor.xtext#src#org#eclipse#papyrus#property#editor#xtext#UmlProperty.ecore']"
EmrysMyrddin/ElaScript,"['EmrysMyrddin$ElaScript$eclipse-elascript#configuration#org.eclipse.osgi#430#0#.cp#model#AcceleoWizardModel.ecore', 'EmrysMyrddin$ElaScript$xtext-workspace#.metadata#.plugins#org.eclipse.pde.core#Launch Runtime Eclipse#org.eclipse.osgi#586#0#.cp#model#AcceleoWizardModel.ecore']","['maxmiller$pml$workspaceEMF#.metadata#.plugins#org.eclipse.pde.core#Eclipse Application#org.eclipse.osgi#bundles#2991#1#.cp#model#AcceleoWizardModel.ecore', 'maxmiller$pml$workspaceEMF#.metadata#.plugins#org.eclipse.pde.core#Eclipse Application#org.eclipse.osgi#bundles#2991#1#.cp#model#AcceleoWizardModel.ecore']"
anuragraghavan/franca,"['anuragraghavan$franca$plugins#org.franca.connectors.etrice#temp_room_model_to_view.ecore', 'anuragraghavan$franca$plugins#org.franca.core#model#franca.ecore']","['rohit21agrawal$etrice$plugins#org.eclipse.etrice.core.room#src-gen#org#eclipse#etrice#core#Room.ecore', 'franca$franca$plugins#org.franca.core#model#franca.ecore']"
gemoc/activitydiagram,"['gemoc$activitydiagram$dev#gemoc_sequential#language_workbench#org.gemoc.activitydiagram.sequential.model#ad#activitydiagram.ecore', 'gemoc$activitydiagram$dev#plainK3#org.modelexecution.operationalsemantics.ad#ad#activitydiagram.ecore', 'gemoc$activitydiagram$dev#gemoc_concurrent#language_workbench#org.gemoc.activitydiagram.concurrent#model-gen#XActivityDiagramMT.ecore', 'gemoc$activitydiagram$dev#gemoc_concurrent#language_workbench#org.gemoc.activitydiagram.concurrent.model#ad#activitydiagram.ecore', 'gemoc$activitydiagram$dev#gemoc_concurrent#language_workbench#org.gemoc.activitydiagram.concurrent.xactivitydiagram#model#XActivityDiagram.ecore']","['moliz$moliz$org.modelexecution.xmof.examples#ad#activitydiagram.ecore', 'moliz$moliz.ttc2015$org.modelexecution.operationalsemantics.ad#ad#activitydiagram.ecore', 'moliz$moliz.ttc2015$org.modelexecution.operationalsemantics.ad#ad#activitydiagram.ecore', 'moliz$moliz$org.modelexecution.xmof.examples#ad#activitydiagram.ecore', 'moliz$moliz.ttc2015$org.modelexecution.operationalsemantics.ad#ad#activitydiagram.ecore']"
